game_id,white_player,black_player,winning_player,move_list
3XfmR1rQ,ritutoshniwal,saber112,ritutoshniwal,d4 d5 Nf3 c5 Bf4 f6 e3 a6 c3 Nc6 Nbd2 Bg4 Be2 Bxf3 Nxf3 cxd4 exd4 Qb6 Qc2 Rc8 O-O Nxd4 Nxd4 Qxd4 Be3 Qh4 Bf3 e6 g3 Qc4 Bg2 d4 Bxb7 Rc7 Bxa6 Qxa6 Bxd4 e5 Qe4 Qc6 Qe2 Ne7 Be3 Nf5 a4 Bc5 Bxc5 Qxc5 Qb5+ Qxb5 axb5 O-O b6 Rb7 Ra6 Rfb8 Rd1 Rxb6 Rxb6 Rxb6 Rd8+ Kf7 Rd7+ Kg6 b4 Rc6 Rd3 e4 Rd1 Rxc3 b5 Rb3 Rd5 Ne7 Rc5 e3 fxe3 Rxe3 b6 Rb3 Rc7 Nd5 Rc6 Nxb6 Kf2 Nd5 Ke2
ti8hQWQb,ehsanamini,ritutoshniwal,ehsanamini,e4 c5 d4 cxd4 Bc4 Nc6 Nf3 d6 Ng5 Qa5+ c3 Ne5 Bb3 h6 Nf3 Bg4 O-O Nxf3+ gxf3 Bh3 Re1 Qh5 Ba4+ Kd8 Bf4 Qg6+ Bg3 h5 Bc2 h4 e5 Qg5 f4 Qh6 Qxd4 hxg3 fxg3 Bg4 h4 Qe6 Nd2
Jbgazldf,ritutoshniwal,adam_mc,adam_mc,d4 d5 Nf3 e6 e3 Nf6 Bd3 Nc6 c3 Ne7 Nbd2 Ng6 O-O Be7 Qe2 c5 b3 Bd7 Bb5 a6 Bxd7+ Qxd7 Ne5 Nxe5 dxe5 Ne4 Nxe4 dxe4 Qg4 O-O Qxe4 f5 exf6 Bxf6 Bb2 Qd2 Qxe6+ Kh8 Rab1 Bxc3 Bxc3 Qxc3 Qd7 b5 Rfc1 Qf6 Rxc5 Qxf2+ Kh1 Qf1+ Rxf1 Rxf1#
3HAnKHUb,ritutoshniwal,Alpha_Gx,ritutoshniwal,d4 g6 Nf3 Bg7 e4 d5 e5 Bg4 Be2 e6 Nbd2 Ne7 c3 Nd7 O-O c5 Nb3 c4 Nbd2 O-O b3 cxb3 Qxb3 Nb6 Ba3 Re8 Bb5 Nc6 h3 Bxf3 Nxf3 a6 Bxc6 bxc6 Nd2 a5 Rab1 Nd7 Qa4 Rc8 Nb3 c5 Bxc5 Nxc5 Nxc5 Qg5 Qxa5 Bf8 Nd7 Be7 Qa7 Qd2 Rb8 Qxc3 Rxc8 Qxc8 Nb6 Qc2 Qd7 Qc8 Nxc8
Viie9V9H,pichicola69,ritutoshniwal,pichicola69,e4 c5 Nf3 d6 c3 Nc6 d4 cxd4 cxd4 Nf6 Nc3 Bg4 d5 Ne5 Be2 Qa5 Nxe5 Bxe2 Qxe2 dxe5 O-O g6 Bd2 Qb6 Rab1 Bg7 Kh1 O-O f4 exf4 Bxf4 e6 d6 Rfd8 e5 Nh5 Bg5 Rd7 g4 Qc6+ Kg1 Qc5+ Qf2 Qxe5 Be7 Rxe7 dxe7 Nf6 Rbe1 Qg5 h3 Qh6 Qg3 Re8 g5 Nh5 gxh6 Nxg3 Rf3 Bxh6 Rxg3 Rxe7 Rd3 Bg7 Ne2 Rc7 Nc3 a6 Rd8+ Bf8 Ne4 Kg7 Red1 Bb4 a3 Bc5+ Nxc5 Rxc5 R1d2 Rc1+ Kf2 Rh1 Kg2 Rb1 R8d7 b5 Rb7 Rc1 Rb6 Rc7 Rxa6 Rb7 Rad6 b4 axb4 Rxb4 R6d4 Rb7 Kf3 e5 Rd7 Rb3+ Ke4 Rxh3 Kxe5 Re3+ Kf4 Re6 b4 Rf6+ Kg4 Rb6 Rb2 Kf8 b5 Ke8 Rc7 Kf8 Rc6 Rb7 b6 Ke8 Rc7 Rb8 b7 Kd8 Rxf7
olREvsh0,its_vikee,ritutoshniwal,its_vikee,d4 d5 Nf3 Nf6 Bf4 g6 e3 Bg7 Bd3 O-O O-O Nbd7 c3 c5 b3 a6 Nbd2 b5 h3 c4 Bc2 Nb6 b4 Bd7 a4 a5 bxa5 Rxa5 Ne5 Qc8 Nxd7 Qxd7 axb5 Rxa1 Qxa1 Qxb5 Be5 Nbd7 Nf3 Qc6 Ba4 Qb7 Bxd7 Qxd7 Bxf6 Bxf6 Nh2 e5 Rb1 exd4 exd4 Re8 Qa6 Bg7 Ng4 Qe6 Qa5 Qe2 Qxd5 Qc2 Ra1 Qxc3 Ra8 Rxa8 Qxa8+ Bf8 Nh6+ Kg7 Ng4 Qc1+ Kh2 Qf4+ g3 Qxd4 Qa6 h5 Ne3 Qd2 Qxc4 Qxf2+ Ng2 Kg8 Qd3 Qf6 Ne3 Qf2+ Ng2 Qf6 Qd5 Kg7 h4 Bd6 Qe4 Qf2 Qd3 Qf6 Qd5 Qe5 Qf3 f5 Qb7+ Kh6 Qf3
dWq0emLy,sandeepkrishnamurthy,ritutoshniwal,sandeepkrishnamurthy,Nc3 d5 e4 dxe4 Nxe4 Bf5 Ng3 Bg6 d3 Nf6 Bg5 e6 Nf3 Be7 Be2 O-O O-O Nc6 c3 Nd5 d4 Bxg5 Nxg5 Qxg5 Bf3 Nde7 c4 Nf5 Ne4 Qe7 d5 exd5 cxd5 Ne5 Qe2 Nxf3+ Qxf3 Nd4 Qd1 Qxe4 Re1 Qxd5 f3 Rad8 Re3 Nc2 Qxd5 Rxd5 Re2 Nxa1 Kf2 Bd3 Re3 Rfd8 h3 Nc2 Rxd3 Rxd3 Kg3 Rd2 Kh2 R8d7 Kg3 a5 Kf4 b5 Ke4 Re2+ Kf4 Rd4+ Kg3
VxN3C7mi,ritutoshniwal,hoUseoFhorRor,hoUseoFhorRor,d4 d5 Nf3 Nc6 e3 Bf5 c4 e6 Nc3 Nf6 Be2 dxc4 Bxc4 Be7 O-O O-O Qe2 Ne4 Nxe4 Bxe4 Nd2 Bd5 Bd3 f5 Nf3 Bf6 Nd2 e5 dxe5 Nxe5 Bc2 Qd6 Bxf5 Rae8 Bc2 Be6 Qh5 Qd7 Qxh7+ Kf7 Qh5+ Ke7 Ne4 Kd8 Rd1 Kc8 Rxd7 Nxd7 Nxf6 Nxf6 Bf5 Nxh5 Bxe6+ Rxe6 Bd2 Ref6 Bc3 Rxf2 h3 Ng3 Rc1 Ne2+ Kh2 Nxc1 Bd2 Ne2 Bc3 Ng3 Kxg3 g5 h4 gxh4+ Kxh4 Rh8+ Kg3 Rf1 Bxh8 Rf8
NfPJBR7a,chessclub1983,ritutoshniwal,chessclub1983,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Bc5 c3 dxc3 Bxf7+ Kxf7 Qd5+ Ke8 Qh5+ g6 Qxc5 Qe7 Qxc3 Nf6 O-O d6 Bg5 Bg4 Bxf6 Qe6 Bxh8
I0RMRqtF,ritutoshniwal,SeriouslyBlack,SeriouslyBlack,h4 d5 Rh3 Nf6 Rf3 e5 Nh3 e4 Rg3 Nc6 Nf4 Be6 Re3 Qd7 g3 O-O-O Rc3 d4
gMAoooPs,ritutoshniwal,dgodas,dgodas,f4 d5 Nf3 Bf5 g3 Nc6 Nd4 Nf6 Nxf5 e6 Nh4 h6 Bh3 g5 fxg5 hxg5
7xRMLrJD,Pa2222,ritutoshniwal,Pa2222,Nf3 c5 d3 d5 Nbd2 Nf6 g3 g6 Bg2 Bg7 O-O O-O Qe1 Nc6 e4 Bg4 e5 Nd7 c3 e6 d4 b6 Nb3 c4 Nbd2 a6 b3 b5 bxc4 bxc4 Ba3 Re8 Bd6 Bf8 Qe2 Bxd6 exd6 Nf6 Qe3 Qxd6 Ne5 Nxe5 dxe5 Qd8 exf6 Qxf6 Nf3 Bxf3 Bxf3 Kg7 Bg2 e5 Bxd5 Rad8 Bxc4 Rc8 Bxa6 e4 c4 Qxa6 c5 Qb5 Qd4+ Kg8 Rac1
98pCpBzx,dragonwhite7002,ritutoshniwal,ritutoshniwal,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 d6 Nc3 Bg4 Bg5 Nd4 Nxe5 dxe5 Qxg4 Nxg4 Bxd8 Kxd8 Bxf7 Nxc2+ Kd2 Nxa1 Rxa1 Nxf2 Rf1 Ng4 h3 Nf6 Nd5 c6 Nxf6 gxf6 Rxf6 Ke7 Rf1 Bh6+ Ke2 Rhf8 Bb3 Rxf1 Kxf1 Rf8+ Ke2 b5 a4 a5 axb5 cxb5 Bd5 a4 b3 Kd6 bxa4 Rf4 axb5 Kc5 Bc6 Rf6 g4 Rxc6 bxc6 Kxc6 Kf3 Bg7 Ke2 Kc5 Kf3 Kd4 Ke2 Bh6 h4 Bf4 h5 Bg5 Kf3 Bf4 Ke2 Bg5 h6 Bxh6 Kf3 Bg5 Ke2 h6 Kd1 Kxd3 Ke1 Kxe4 Kf2 Kf4 Kg2 Kxg4 Kh2 h5 Kg2 e4 Kf1 e3 Kg1
kxQ445iw,ritutoshniwal,guerrerodelajedrez,ritutoshniwal,d4 d5 Nf3 e6 e3 Nf6 c3 Bd6 Bd3 O-O Nbd2 h6 O-O c6 Qe2 Qc7 e4 dxe4 Nxe4 Nxe4 Qxe4 g6 Bxh6 Re8 Qh4 Be7 Bg5 Qd8 Qh6 Nd7 Bxg6 Bxg5 Qh7+ Kf8 Qxf7#
9SmXFXtg,ritutoshniwal,gray99,ritutoshniwal,d4 Nf6 Nf3 e6 Nc3 b6 e3 Bb7 Bd3 Be7 O-O d5 Qe2 O-O Re1 c5 dxc5 bxc5 Bb5 a6 Ba4 Nc6 e4 d4 Nd1 e5 Bxc6 Bxc6 Nxe5 Bxe4 Bg5 Bg6 Nc6
H3iwflG1,piazzai,ritutoshniwal,piazzai,d4 d5 c4 e6 Nf3 Nf6 Bg5 g6 e3 Bg7 Bd3 O-O O-O Nbd7 Nbd2 c6 cxd5 exd5 b4 Qb6 a3 Re8 Qc2 Qc7 b5 Nb6 bxc6 bxc6 Rac1 Bd7 Ne5 Rxe5 dxe5 Qxe5 Bf4 Qe6 Nf3 Nh5 Ng5 Qf6 Be2 Nxf4 exf4 Qxf4 Nf3 Bg4 Qd3 Bxf3 Qxf3 Qxf3 Bxf3 Nc4 Rfe1 Nd2 Bg4 Bb2 Rcd1
8Pdvlc8n,TF64,ritutoshniwal,ritutoshniwal,d4 d5 c4 Nf6 Nc3 g6 Nf3 Bg7 Bg5 O-O cxd5 Nxd5 e4 Nxc3 bxc3 Bg4 Be2 c6 Ne5 Bxe2 Qxe2 f6 Qc4+ Kh8 Nf7+ Rxf7 Qxf7 fxg5 O-O Nd7 f4 gxf4 Rxf4 Nf6 e5 Nd5 Rf3 Qg8 e6 Qxf7 Rxf7 Nxc3 Rxe7 Nd5 Rxb7 Bxd4+ Kf1 Bxa1 e7 Bf6 e8=Q+ Rxe8 Rxa7 Bc3 a4 Nf6 a5 Ng4 g3 Nxh2+ Kg2 Ng4 a6 c5 Rb7 Be5 Kf3 Nf6 a7 Nd5 Rb8 Rxb8 axb8=Q+ Bxb8 Ke4 Nf6+ Kd3 Bxg3 Kc4 h5 Kxc5 h4
vhF1qXrV,ANONYMOUS,ritutoshniwal,ritutoshniwal,Nf3 d5 e3 Nc6 Be2 Nf6 O-O e5 Nc3 Bf5 d3 d4 exd4 exd4 Nxd4 Nxd4 Qd2 Be7 Qe1 O-O Bd2 a6 a4 b5 axb5 axb5 Nxb5 Nxb5 Rd1 Nc3 Bxc3 c5 Bd2 Bd6 Rb1 Re8 Ra1 Bc7 b3 Rxa1 Qxa1 Be5 Qd1 Bc7 b4 Qd6 Be3 cxb4 Re1 h6 Ba7 Rxe2 Rxe2 h5 Qd2 Qxh2+ Kf1 Qh1#
dHlZFmqA,Rajveerj,ritutoshniwal,ritutoshniwal,e4 e5 Bc4 Nf6 Nf3 Nc6 Ng5 d5 Bb5 dxe4 Bxc6+ bxc6 Qe2 Bg4 Qc4 Qd7 Nxf7 Qxf7 Qxf7+ Kxf7 Nc3 Bb4 Na4 Rhf8 O-O Nd5 d3 exd3 cxd3 Kg8 f3 Bh5 Bg5 Rf5 Bc1 Rf6 a3 Bd6 Bg5 Rg6 Bd2 Rf8 b4 Bxf3 Rf2 Kh8 Kf1 Bg4 Ke1 Rxf2 Kxf2 Rf6+ Kg3 h5 h3 e4+ Kh4 Bf5 g4 hxg4 hxg4 Rh6+ Kg5 Bh7 Bf4 Be7#
wnIH7qPJ,StutiRNadigar,ritutoshniwal,StutiRNadigar,e4 d5 d4 Nf6 c4 dxc4 b3 cxb3 axb3 e6 Bc4 Nc6
69Df2lwV,arnavChakravarty,ritutoshniwal,arnavChakravarty,d4 d5 c4 dxc4 e3 b5 b3 cxb3 Qxb3 Nd7 Bxb5 Nf6 Qa4 g6 Bc6 Rb8 Bb5 Bg7 e4 O-O Bf4 Nxe4 Qxa7 Nb6 Qxb8 Bxd4 Bxc7 Qd5 h3
UDQwTAVL,rashimaniyar,ritutoshniwal,rashimaniyar,d4 d5 e3 Nf6 Bb5+ c6 Ba4 g6 Nf3 Bg4 h3 Bxf3 gxf3 Bg7 Nc3 O-O O-O Qd7
Z8x1ddwi,SankarshanaRNadigar,ritutoshniwal,ritutoshniwal,d4 d5 e4 Nf6 c3 Nxe4 c4 dxc4 Bxc4 e6 Ne2 g6 Nf4 Qf6 Nd5 Qxf2#
kFTmtwAy,Chedhhgerger,ritutoshniwal,Chedhhgerger,d4 d5 c4 dxc4 e3 b5 a4 c6 axb5 cxb5 Qf3 Bb7 Qxb7 Nd7 Ra6 Ngf6 Nf3 g6 Ne5 Bg7 Nxd7 Nxd7 e4 O-O Bg5 Nf6 e5 Nd7 b3 cxb3 Bxb5
ydEg8Y4L,ritutoshniwal,Rajveerj,ritutoshniwal,d4 d5 Nf3 Nc6 e3 Nf6 Bb5 e6 c3 Be7 Bd3 O-O Nbd2 Bd6 Qe2 e5 dxe5 Nxe5 Nxe5 Bxe5 O-O Qd6 h3 Bh2+ Kh1 Be5 e4 dxe4 Nxe4 Nxe4 Qxe4 Qg6 Qxg6 fxg6 Be3 Bf5 Bxf5 gxf5 Rad1 f4 Bd4 Bxd4 Rxd4 Rad8 Rfd1 Rxd4 Rxd4 c5 Rd7 b5 Rxa7 b4 cxb4 cxb4 Kh2 b3 axb3 Rb8 Ra4 Rxb3 Rxf4 Rxb2 g4 g5 Rf5 h6 Kg3 Kg7 f3 Kg6 Ra5 h5 gxh5+ Kxh5 h4 Kg6 Rxg5+ Kh6 Kg4 Kh7 f4 Rb7 f5 Kh8 Rg6 Rg7 Rxg7 Kxg7 Kg5 Kf7 h5 Ke7 h6 Kf8 Kg6 Kg8 f6 Kh8 Kf7 Kh7 Ke8 Kxh6 f7 Kg7 f8=Q+ Kg6 Qf7+ Kg5 Ke7 Kg4 Qf6 Kh5 Qg7 Kh4 Kf6 Kh3 Kf5 Kh2 Kf4 Kh1 Kf3 Kh2 Qg2#
6JK8ON3l,ANONYMOUS,ritutoshniwal,ritutoshniwal,f4 e5 fxe5 d6 exd6 cxd6 h4 Nf6 g4 Nxg4 Rh3 d5 Rg3 Nh2 Bh3 Bxh3 Rxh3 Ng4 Rg3 Nh6 e4 dxe4 d3 exd3 cxd3 Bd6 Re3+ Kd7 a4 b5 axb5 a6 bxa6 Rxa6 Rxa6 Nxa6 b3 Bf4 Rf3 Bh2 Rh3 Bxg1 Rh1 Bb6 d4 Ba5+ Bd2 Bxd2+ Qxd2 Nc7 b4 g5 hxg5 Ng4 g6 fxg6 d5 Nxd5 b5 Ke7 b6 Nxb6 Qa5 Nc4 Qxd8+ Kxd8 Rh4 Nh2 Rxh2 g5 Rg2 h6 Rh2 h5 Rg2 g4 Rh2 g3 Rg2 h4 Rg1 Nb2 Rh1 g2 Rg1 h3 Rxg2 hxg2 Kf2 g1=Q+ Kxg1 Rg8+ Kh1 Nd3 Nc3 Nf4 Nd5 Ne2 Nf4 Nxf4 Kh2 Ne2 Kh3 Ng1+ Kh4 Nf3+ Kh5 Ne5 Kh6 Ng4+ Kh7 Nf6+ Kh6 Nh5 Kh7 Rh8+ Kxh8
BRumoTKA,ANONYMOUS,ritutoshniwal,ANONYMOUS,e4 d5 exd5 c6 dxc6 bxc6 Nf3 Qa5 Be2 Nh6 Kf1 Ng4 h3 Nf6 b4 Qxb4 c3 Qa5 c4 Nfd7 Nd4 f5 Bf3 g5 Nxf5 Nc5 h4 e6 Ng3 gxh4 Ne2 h3 gxh3 Bh6 Bxc6+ Kf7 Bxa8 Ne4 f4 e5 fxe5 Ng5 h4 Nf3 e6+ Kxe6 h5 Ke5 c5 Bg4 Bb7 Na6 d3 Qxc5 Bxh6 Qb4 Bg7+ Ke6 Bxh8 Qf8 Bb2 Qb4 Rh4 Bf5 Rf4 Be4 Rxe4+ Kf5 Rxb4 Nxb4 a3 Nd5 Ra2 Ne7 a4 a5 Ra3 Kg5 h6 Kh5 Rc3 Ng8 Rc8 Nxh6 d4 Ng4 Qd3 Nfh2+ Kg2 Nf1 Kxf1 Nh2+ Kg1 Ng4 Qxh7+ Nh6 Qg7 Ng4 Kg2 Nh6 Kf3 Ng4 Kf4 Nh2 Kg3 Nf1+ Kf2 Nd2 Rc2 Nxb1 Rc1 Nc3 Rxc3 Kh4 Rc1 Kh3 Rh1#
DCMxnFEz,ritutoshniwal,ANONYMOUS,ritutoshniwal,e4 d5 Nc3 e5 d3 dxe4 Nxe4 h5 Ne2 h4 g3 hxg3 fxg3 Bd7 Bd2 Nc6 c3 Qe7 Bg2 O-O-O O-O Qe8 b4 Kb8 a4 b5 a5 a6 c4 Kb7 Qc2 Nxa5 cxb5 Kb6 bxa6 Kxa6 bxa5 Kb5 Qb3+ Kc6 Rac1+ Bc5+ Kh1 Rxh2+ Kxh2 Nh6 g4 Nxg4+ Kh1 Nf2+ Kg1 Nxe4+ Kh2 f5 Ng3 f4 Ne2 g5 Qc4 Qh8+ Bh3 Qf8 dxe4 Qg8 Qxc5+ Kb7 Qxc7+ Ka8 Rb1 Rc8 Qb7#
RjBFOO6r,ritutoshniwal,yashveerj,ritutoshniwal,d4 d5 c4 c5 Nc3 Nf6 Nf3 e6 Bg5 h6 Bh4 Nc6 Qb3 Bd6 dxc5 Bxc5 cxd5 exd5 Bxf6 gxf6 Nxd5 Be6 Rd1 Ne7 Nxf6+ Kf8 Rxd8+ Rxd8 Qxb7 Bc8 Qe4 Bb6 a3 Ba5+ b4 Bc7 e3 a5 Bc4 axb4 axb4 Nc6 Qxc6 h5 Qxc7 Kg7 Qxf7+ Kh6 Ne5 Bf5 e4 Bh7 Nxh7 Rxh7 Qg6#
zuZAMiar,SankarshanaRNadigar,ritutoshniwal,ritutoshniwal,e4 e5 d4 exd4 Nf3 Nc6 Nxd4 Nge7 Bc4 Nxd4 Qxd4 Nc6 O-O d6 Qc3 Bg4 Qb3 Qf6 Bd2 b6 Nc3 Qg6 Ne2 Bh3 Bh6 Qxg2#
rwc2R0m6,StutiRNadigar,ritutoshniwal,ritutoshniwal,e4 e5 Bc4 Nc6 Nf3 Bc5 O-O d6 d3 Bg4 Bg5 Nf6 Nc3 Nd4 Nxd4 Bxd4 Qe1 h6 Rd1 hxg5 Rc1 Qe7 Qd2 Rh7 Rfe1 O-O-O Kf1 Rxh2 Kg1 Rdh8 Kf1 Rh1#
7lS0Da6B,arnavChakravarty,ritutoshniwal,ritutoshniwal,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nge7 Bc4 Nxd4 Qxd4 Nc6 Qd5 Qf6 g3 Be7 g4 d6 h4 Bxg4 Bg5 Qf3 Rf1 Qd1+ Qxd1 Bxd1 Kxd1 Bxg5 hxg5 O-O Nc3 Nd4 Nb5 Nxb5 Bxb5 c6 Bd3 Rfd8 Rh1 d5 c4 dxc4 Kc2 cxd3+ Kc3 d2 Rad1 b5 Rxd2 Rxd2 Kxd2 c5 Kc3 b4+ Kc4 a5 Kxc5 Re8 f3 Re5+ Kc4 Rxg5 Rd1 h6 f4 Rg4 f5 Rxe4+ Kb5 Re5+ Ka4 Rxf5 Rd8+ Kh7 a3 bxa3 bxa3 g5 Kb3 g4 Rd3 Rf3 Kc2 Rxd3 Kxd3 g3 Ke2 f5 Kf1 f4 Kg2 h5 Kf3 h4 Kg2 Kg6 Kh3 Kg5 Kg2 Kg4 a4 h3+ Kg1 h2+ Kg2 f3+ Kh1 g2+ Kxh2 Kh4 Kg1 Kh3 Kf2 Kh2 Kxf3 g1=Q Ke4 Qd1 Kf4
OdX8727t,Chedhhgerger,ritutoshniwal,ritutoshniwal,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Nge7 Bc4 Nxd4 Qxd4 Nc6 Qd5 Qf6 O-O Ne5 Be2 Be7 Be3 O-O g3 d6 h4 Nf3+ Bxf3 Qxf3 Nd2 Qg4 Qd4 Qh3 Nf3 Bg4 Bd2 Bxf3 c3 a6 c4 Qg2#
IzctorcV,Rajveerj,ritutoshniwal,ritutoshniwal,d4 d5 Nc3 Nf6 Nf3 Bf5 Bf4 e6 Qd2 Bb4 e3 O-O Be2 Nbd7 O-O Ne4 Qd3 Nxc3 Qd2 Nxe2+ Qxe2 Nf6 Nh4 a6 Nxf5 exf5 Bg5 h6 Bxf6 Qxf6 Rad1 b5 Rd3 c5 Qf3 Rad8 a3 Ba5 b4 Bb6 bxc5 Bc7 Rb3 Qh4 g3 Qh3 Re1 Rfe8 Qg2 Qxg2+ Kxg2 Re6 Rd3 h5 f4 Rg6 Kf2 Rh6 e4 dxe4 Rde3 Rxd4 R3e2 h4 Ke3 Ra4 Rd2 Rxa3+ c3 Rxc3+ Ke2 hxg3 hxg3 Rh2+ Kf1 Rxg3 Rxh2 Bxf4 Rd2 Bxd2 Rd1 Be3 Rd8+ Kh7 Rd7 f4 Rxf7 f3 Ra7 f2 Rxa6 Rg1+ Ke2 f1=Q+ Kxe3 Qe1+ Kd4 Rg2 Kd5 Rd2+ Kc6 e3 Ra7 Qh1+ Kxb5 Rb2+ Kc4 Qd1 Kc3 Rc2+ Kb3 Qb1+ Ka3 Ra2#
